[22:36:45] ================================================================================
[22:36:45] 流星偵測系統 - 增強版
[22:36:45] ================================================================================
[22:36:45] 影片: me.mp4
[22:36:45] 總幀數: 3065, FPS: 30.00
[22:36:45] 參數: 移動檢查=10幀, 最小移動=5px
[22:36:46] ✓ 流星 #1: 幀 71-76 (時間 2.4s-2.5s), 長度 23.7px, 速度 4.7px/frame, 點數 3
[22:37:09] ✓ 流星 #383: 幀 2810-2810 (時間 93.7s-93.7s), 長度 22.2px, 速度 22.2px/frame, 點數 2
[22:37:09] ✓ 流星 #384: 幀 2810-2810 (時間 93.7s-93.7s), 長度 20.5px, 速度 20.5px/frame, 點數 2
[22:37:09] ✓ 流星 #385: 幀 2810-2810 (時間 93.7s-93.7s), 長度 27.3px, 速度 27.3px/frame, 點數 2
[22:37:09] ✓ 流星 #386: 幀 2810-2810 (時間 93.7s-93.7s), 長度 25.6px, 速度 25.6px/frame, 點數 2
[22:37:09] ✓ 流星 #387: 幀 2810-2810 (時間 93.7s-93.7s), 長度 24.2px, 速度 24.2px/frame, 點數 2
[22:37:09] ✓ 流星 #388: 幀 2810-2810 (時間 93.7s-93.7s), 長度 26.8px, 速度 26.8px/frame, 點數 2
[22:37:09] ✓ 流星 #389: 幀 2810-2810 (時間 93.7s-93.7s), 長度 40.3px, 速度 40.3px/frame, 點數 2
[22:37:09] ✓ 流星 #390: 幀 2810-2810 (時間 93.7s-93.7s), 長度 14.8px, 速度 14.8px/frame, 點數 2
[22:37:09] ✓ 流星 #391: 幀 2810-2810 (時間 93.7s-93.7s), 長度 35.0px, 速度 35.0px/frame, 點數 2
[22:37:09] ✓ 流星 #392: 幀 2810-2810 (時間 93.7s-93.7s), 長度 14.2px, 速度 14.2px/frame, 點數 2
[22:37:09] ✓ 流星 #393: 幀 2810-2810 (時間 93.7s-93.7s), 長度 52.0px, 速度 52.0px/frame, 點數 2
[22:37:09] ✓ 流星 #394: 幀 2810-2810 (時間 93.7s-93.7s), 長度 15.6px, 速度 15.6px/frame, 點數 2
[22:37:09] ✓ 流星 #395: 幀 2810-2810 (時間 93.7s-93.7s), 長度 18.9px, 速度 18.9px/frame, 點數 2
[22:37:09] ✓ 流星 #396: 幀 2810-2810 (時間 93.7s-93.7s), 長度 37.5px, 速度 37.5px/frame, 點數 2
[22:37:09] ✓ 流星 #397: 幀 2810-2810 (時間 93.7s-93.7s), 長度 9.2px, 速度 9.2px/frame, 點數 2
[22:37:09] ✓ 流星 #398: 幀 2810-2810 (時間 93.7s-93.7s), 長度 46.0px, 速度 46.0px/frame, 點數 2
[22:37:09] ✓ 流星 #399: 幀 2810-2810 (時間 93.7s-93.7s), 長度 56.3px, 速度 56.3px/frame, 點數 2
[22:37:09] ✓ 流星 #400: 幀 2810-2810 (時間 93.7s-93.7s), 長度 17.7px, 速度 17.7px/frame, 點數 2
[22:37:09] ✓ 流星 #401: 幀 2810-2810 (時間 93.7s-93.7s), 長度 10.4px, 速度 10.4px/frame, 點數 2
[22:37:09] ✓ 流星 #402: 幀 2810-2810 (時間 93.7s-93.7s), 長度 20.0px, 速度 20.0px/frame, 點數 2
[22:37:09] ✓ 流星 #403: 幀 2810-2810 (時間 93.7s-93.7s), 長度 10.8px, 速度 10.8px/frame, 點數 2
[22:37:09] ✓ 流星 #404: 幀 2810-2810 (時間 93.7s-93.7s), 長度 14.9px, 速度 14.9px/frame, 點數 2
[22:37:09] ✓ 流星 #405: 幀 2810-2810 (時間 93.7s-93.7s), 長度 10.6px, 速度 10.6px/frame, 點數 2
[22:37:09] ✓ 流星 #406: 幀 2810-2810 (時間 93.7s-93.7s), 長度 48.7px, 速度 48.7px/frame, 點數 2
[22:37:09] ✓ 流星 #407: 幀 2851-2851 (時間 95.0s-95.0s), 長度 35.9px, 速度 35.9px/frame, 點數 2
[22:37:09] ✓ 流星 #408: 幀 2851-2851 (時間 95.0s-95.0s), 長度 55.7px, 速度 55.7px/frame, 點數 2
[22:37:09] ✓ 流星 #409: 幀 2855-2858 (時間 95.2s-95.3s), 長度 6.0px, 速度 2.0px/frame, 點數 2
[22:37:09] 處理進度: 2900/3065, 活躍軌跡: 0, 已偵測流星: 409
[22:37:10] ✓ 流星 #410: 幀 2937-2937 (時間 97.9s-97.9s), 長度 9.2px, 速度 9.2px/frame, 點數 2
[22:37:10] ✓ 流星 #411: 幀 2937-2937 (時間 97.9s-97.9s), 長度 10.0px, 速度 10.0px/frame, 點數 2
[22:37:10] ✓ 流星 #412: 幀 2937-2937 (時間 97.9s-97.9s), 長度 9.4px, 速度 9.4px/frame, 點數 2
[22:37:10] ✓ 流星 #413: 幀 2937-2937 (時間 97.9s-97.9s), 長度 8.1px, 速度 8.1px/frame, 點數 2
[22:37:10] ✓ 流星 #414: 幀 2937-2937 (時間 97.9s-97.9s), 長度 12.5px, 速度 12.5px/frame, 點數 2
[22:37:10] ✓ 流星 #415: 幀 2937-2937 (時間 97.9s-97.9s), 長度 9.4px, 速度 9.4px/frame, 點數 2
[22:37:10] ✓ 流星 #416: 幀 2937-2937 (時間 97.9s-97.9s), 長度 8.6px, 速度 8.6px/frame, 點數 2
[22:37:10] ✓ 流星 #417: 幀 2937-2937 (時間 97.9s-97.9s), 長度 10.8px, 速度 10.8px/frame, 點數 2
[22:37:10] ✓ 流星 #418: 幀 2937-2937 (時間 97.9s-97.9s), 長度 9.4px, 速度 9.4px/frame, 點數 2
[22:37:10] ✓ 流星 #419: 幀 2937-2937 (時間 97.9s-97.9s), 長度 9.8px, 速度 9.8px/frame, 點數 2
[22:37:10] ✓ 流星 #420: 幀 2937-2937 (時間 97.9s-97.9s), 長度 6.3px, 速度 6.3px/frame, 點數 2
[22:37:10] ✓ 流星 #421: 幀 2937-2937 (時間 97.9s-97.9s), 長度 16.1px, 速度 16.1px/frame, 點數 2
[22:37:10] ✓ 流星 #422: 幀 2937-2937 (時間 97.9s-97.9s), 長度 5.7px, 速度 5.7px/frame, 點數 2
[22:37:10] ✓ 流星 #423: 幀 2937-2937 (時間 97.9s-97.9s), 長度 28.9px, 速度 28.9px/frame, 點數 2
[22:37:10] ✓ 流星 #424: 幀 2937-2937 (時間 97.9s-97.9s), 長度 7.6px, 速度 7.6px/frame, 點數 2
[22:37:10] ✓ 流星 #425: 幀 2937-2937 (時間 97.9s-97.9s), 長度 7.6px, 速度 7.6px/frame, 點數 2
[22:37:10] ✓ 流星 #426: 幀 2937-2937 (時間 97.9s-97.9s), 長度 7.6px, 速度 7.6px/frame, 點數 2
[22:37:10] ✓ 流星 #427: 幀 2937-2937 (時間 97.9s-97.9s), 長度 7.6px, 速度 7.6px/frame, 點數 2
[22:37:10] ✓ 流星 #428: 幀 2937-2937 (時間 97.9s-97.9s), 長度 7.3px, 速度 7.3px/frame, 點數 2
[22:37:10] ✓ 流星 #429: 幀 2937-2937 (時間 97.9s-97.9s), 長度 59.1px, 速度 59.1px/frame, 點數 2
[22:37:10] ✓ 流星 #430: 幀 2937-2937 (時間 97.9s-97.9s), 長度 8.2px, 速度 8.2px/frame, 點數 2
[22:37:10] ✓ 流星 #431: 幀 2937-2937 (時間 97.9s-97.9s), 長度 6.7px, 速度 6.7px/frame, 點數 2
[22:37:10] ✓ 流星 #432: 幀 2937-2937 (時間 97.9s-97.9s), 長度 41.0px, 速度 41.0px/frame, 點數 2
[22:37:10] ✓ 流星 #433: 幀 2937-2937 (時間 97.9s-97.9s), 長度 9.9px, 速度 9.9px/frame, 點數 2
[22:37:10] ✓ 流星 #434: 幀 2937-2937 (時間 97.9s-97.9s), 長度 39.1px, 速度 39.1px/frame, 點數 2
[22:37:10] ✓ 流星 #435: 幀 2937-2937 (時間 97.9s-97.9s), 長度 12.2px, 速度 12.2px/frame, 點數 2
[22:37:10] ✓ 流星 #436: 幀 2937-2937 (時間 97.9s-97.9s), 長度 5.4px, 速度 5.4px/frame, 點數 2
[22:37:10] ✓ 流星 #437: 幀 2937-2937 (時間 97.9s-97.9s), 長度 9.8px, 速度 9.8px/frame, 點數 2
[22:37:10] ✓ 流星 #438: 幀 2937-2937 (時間 97.9s-97.9s), 長度 6.7px, 速度 6.7px/frame, 點數 2
[22:37:10] ✓ 流星 #439: 幀 2937-2937 (時間 97.9s-97.9s), 長度 6.3px, 速度 6.3px/frame, 點數 2
[22:37:10] ✓ 流星 #440: 幀 2937-2937 (時間 97.9s-97.9s), 長度 5.0px, 速度 5.0px/frame, 點數 2
[22:37:10] ✓ 流星 #441: 幀 2937-2937 (時間 97.9s-97.9s), 長度 6.7px, 速度 6.7px/frame, 點數 2
[22:37:10] ✓ 流星 #442: 幀 2937-2938 (時間 97.9s-97.9s), 長度 9.9px, 速度 9.9px/frame, 點數 2
[22:37:11] ✓ 流星 #443: 幀 2975-2992 (時間 99.2s-99.7s), 長度 52.7px, 速度 3.1px/frame, 點數 7
[22:37:11] 處理進度: 3000/3065, 活躍軌跡: 1, 已偵測流星: 443
[22:37:11] ✓ 流星 #444: 幀 2995-2995 (時間 99.8s-99.8s), 長度 21.9px, 速度 21.9px/frame, 點數 2
[22:37:11] ✓ 流星 #445: 幀 3001-3001 (時間 100.0s-100.0s), 長度 20.2px, 速度 20.2px/frame, 點數 2
[22:37:12] ✓ 流星 #446: 幀 3050-3050 (時間 101.7s-101.7s), 長度 50.1px, 速度 50.1px/frame, 點數 2
[22:37:12] ✓ 流星 #447: 幀 3050-3050 (時間 101.7s-101.7s), 長度 26.1px, 速度 26.1px/frame, 點數 2
[22:37:12] ✓ 流星 #448: 幀 3050-3050 (時間 101.7s-101.7s), 長度 43.0px, 速度 43.0px/frame, 點數 2
[22:37:12] ✓ 流星 #449: 幀 3050-3050 (時間 101.7s-101.7s), 長度 59.4px, 速度 59.4px/frame, 點數 2
[22:37:12] ✓ 流星 #450: 幀 3050-3050 (時間 101.7s-101.7s), 長度 57.9px, 速度 57.9px/frame, 點數 2
[22:37:12] ✓ 流星 #451: 幀 3050-3050 (時間 101.7s-101.7s), 長度 38.2px, 速度 38.2px/frame, 點數 2
[22:37:12] ✓ 流星 #452: 幀 3050-3050 (時間 101.7s-101.7s), 長度 49.7px, 速度 49.7px/frame, 點數 2
[22:37:12] ✓ 流星 #453: 幀 3050-3050 (時間 101.7s-101.7s), 長度 45.7px, 速度 45.7px/frame, 點數 2
[22:37:12] ✓ 流星 #454: 幀 3050-3050 (時間 101.7s-101.7s), 長度 14.8px, 速度 14.8px/frame, 點數 2
[22:37:12] ✓ 流星 #455: 幀 3050-3050 (時間 101.7s-101.7s), 長度 52.0px, 速度 52.0px/frame, 點數 2
[22:37:12] ✓ 流星 #456: 幀 3050-3050 (時間 101.7s-101.7s), 長度 24.5px, 速度 24.5px/frame, 點數 2
[22:37:12] ✓ 流星 #457: 幀 3050-3050 (時間 101.7s-101.7s), 長度 10.8px, 速度 10.8px/frame, 點數 2
[22:37:12] ✓ 流星 #458: 幀 3050-3050 (時間 101.7s-101.7s), 長度 24.2px, 速度 24.2px/frame, 點數 2
[22:37:12] ✓ 流星 #459: 幀 3050-3050 (時間 101.7s-101.7s), 長度 22.5px, 速度 22.5px/frame, 點數 2
[22:37:12] ✓ 流星 #460: 幀 3050-3050 (時間 101.7s-101.7s), 長度 47.2px, 速度 47.2px/frame, 點數 2
[22:37:12] ✓ 流星 #461: 幀 3050-3050 (時間 101.7s-101.7s), 長度 58.1px, 速度 58.1px/frame, 點數 2
[22:37:12] ✓ 流星 #462: 幀 3050-3050 (時間 101.7s-101.7s), 長度 8.5px, 速度 8.5px/frame, 點數 2
[22:37:12] ✓ 流星 #463: 幀 3050-3050 (時間 101.7s-101.7s), 長度 9.9px, 速度 9.9px/frame, 點數 2
[22:37:12] ✓ 流星 #464: 幀 3050-3050 (時間 101.7s-101.7s), 長度 22.1px, 速度 22.1px/frame, 點數 2
[22:37:12] ✓ 流星 #465: 幀 3050-3050 (時間 101.7s-101.7s), 長度 55.0px, 速度 55.0px/frame, 點數 2
[22:37:12] ✓ 流星 #466: 幀 3050-3050 (時間 101.7s-101.7s), 長度 38.9px, 速度 38.9px/frame, 點數 2
[22:37:12] ✓ 流星 #467: 幀 3050-3050 (時間 101.7s-101.7s), 長度 38.5px, 速度 38.5px/frame, 點數 2
[22:37:12] 
軌跡合併: 468 → 344 顆流星
[22:37:12] 
總共偵測到 344 顆流星
[22:37:12] 場景切換次數: 4
[22:37:12] ✓ 結果已儲存: output_enhanced\me\results.json
[22:37:12] 
開始生成標記影片...
[22:37:13]   標記進度: 100/3065
[22:37:13]   標記進度: 200/3065
[22:37:14]   標記進度: 300/3065
[22:37:14]   標記進度: 400/3065
[22:37:15]   標記進度: 500/3065
[22:37:16]   標記進度: 600/3065
[22:37:16]   標記進度: 700/3065
[22:37:17]   標記進度: 800/3065
[22:37:18]   標記進度: 900/3065
[22:37:18]   標記進度: 1000/3065
[22:37:19]   標記進度: 1100/3065
[22:37:20]   標記進度: 1200/3065
[22:37:21]   標記進度: 1300/3065
[22:37:21]   標記進度: 1400/3065
[22:37:22]   標記進度: 1500/3065
[22:37:23]   標記進度: 1600/3065
[22:37:24]   標記進度: 1700/3065
[22:37:24]   標記進度: 1800/3065
[22:37:25]   標記進度: 1900/3065
[22:37:26]   標記進度: 2000/3065
[22:37:26]   標記進度: 2100/3065
[22:37:27]   標記進度: 2200/3065
[22:37:28]   標記進度: 2300/3065
[22:37:28]   標記進度: 2400/3065
[22:37:29]   標記進度: 2500/3065
[22:37:30]   標記進度: 2600/3065
[22:37:30]   標記進度: 2700/3065
[22:37:31]   標記進度: 2800/3065
[22:37:32]   標記進度: 2900/3065
[22:37:32]   標記進度: 3000/3065
[22:37:33] ✓ 標記影片已儲存: output_enhanced\me\me_annotated.mp4
[00:07:02] ================================================================================
[00:07:02] 流星偵測系統 - 增強版
[00:07:02] ================================================================================
[00:07:02] 影片: me.mp4
[00:07:02] 總幀數: 3065, FPS: 30.00
[00:07:02] 參數: 移動檢查=10幀, 最小移動=5px
[00:07:03] ✓ 流星 #1: 幀 79-88 (時間 2.6s-2.9s), 長度 306.3px, 速度 34.0px/frame, 點數 5
[00:07:03] 處理進度: 100/3065, 活躍軌跡: 5, 已偵測流星: 1
[00:07:03] ✓ 流星 #2: 幀 91-95 (時間 3.0s-3.2s), 長度 104.5px, 速度 26.1px/frame, 點數 4
[00:07:03] 處理進度: 200/3065, 活躍軌跡: 0, 已偵測流星: 2
[00:07:04] 處理進度: 300/3065, 活躍軌跡: 0, 已偵測流星: 2
[00:07:04] ✓ 流星 #3: 幀 338-346 (時間 11.3s-11.5s), 長度 81.6px, 速度 10.2px/frame, 點數 6
[00:07:04] ✓ 流星 #4: 幀 343-347 (時間 11.4s-11.6s), 長度 77.5px, 速度 19.4px/frame, 點數 5
[00:07:04] ✓ 流星 #5: 幀 346-350 (時間 11.5s-11.7s), 長度 11.3px, 速度 2.8px/frame, 點數 4
[00:07:04] ✓ 流星 #6: 幀 349-352 (時間 11.6s-11.7s), 長度 18.1px, 速度 6.0px/frame, 點數 4
[00:07:04] ✓ 流星 #7: 幀 352-361 (時間 11.7s-12.0s), 長度 101.1px, 速度 11.2px/frame, 點數 9
[00:07:04] 處理進度: 400/3065, 活躍軌跡: 5, 已偵測流星: 7
[00:07:05] 處理進度: 500/3065, 活躍軌跡: 9, 已偵測流星: 7
[00:07:05] 處理進度: 600/3065, 活躍軌跡: 1, 已偵測流星: 7
[00:07:05] ✓ 流星 #8: 幀 597-605 (時間 19.9s-20.2s), 長度 20.8px, 速度 2.6px/frame, 點數 5
[00:07:05] ✓ 流星 #9: 幀 602-609 (時間 20.1s-20.3s), 長度 27.8px, 速度 4.0px/frame, 點數 5
[00:07:05] ✓ 流星 #10: 幀 607-635 (時間 20.2s-21.2s), 長度 85.3px, 速度 3.0px/frame, 點數 12
[00:07:05] ✓ 流星 #11: 幀 631-643 (時間 21.0s-21.4s), 長度 22.6px, 速度 1.9px/frame, 點數 5
[00:07:06] 處理進度: 700/3065, 活躍軌跡: 0, 已偵測流星: 11
[00:07:06] 處理進度: 800/3065, 活躍軌跡: 0, 已偵測流星: 11
[00:07:07] ✓ 流星 #12: 幀 861-873 (時間 28.7s-29.1s), 長度 167.6px, 速度 14.0px/frame, 點數 6
[00:07:07] ✓ 流星 #13: 幀 863-875 (時間 28.8s-29.2s), 長度 169.8px, 速度 14.2px/frame, 點數 6
[00:07:07] 處理進度: 900/3065, 活躍軌跡: 0, 已偵測流星: 13
[00:07:07] 處理進度: 1000/3065, 活躍軌跡: 0, 已偵測流星: 13
[00:07:07] 處理進度: 1100/3065, 活躍軌跡: 0, 已偵測流星: 13
[00:07:08] ✓ 流星 #14: 幀 1175-1190 (時間 39.2s-39.7s), 長度 94.2px, 速度 6.3px/frame, 點數 4
[00:07:08] 處理進度: 1200/3065, 活躍軌跡: 2, 已偵測流星: 14
[00:07:08] ✓ 流星 #15: 幀 1180-1195 (時間 39.3s-39.8s), 長度 93.3px, 速度 6.2px/frame, 點數 4
[00:07:09] 處理進度: 1300/3065, 活躍軌跡: 0, 已偵測流星: 15
[00:07:09] ✓ 流星 #16: 幀 1345-1352 (時間 44.8s-45.1s), 長度 43.1px, 速度 6.2px/frame, 點數 4
[00:07:09] ✓ 流星 #17: 幀 1352-1363 (時間 45.1s-45.4s), 長度 100.8px, 速度 9.2px/frame, 點數 5
[00:07:09] 處理進度: 1400/3065, 活躍軌跡: 2, 已偵測流星: 17
[00:07:09] ✓ 流星 #18: 幀 1384-1402 (時間 46.1s-46.7s), 長度 79.1px, 速度 4.4px/frame, 點數 6
[00:07:09] ✓ 流星 #19: 幀 1355-1406 (時間 45.2s-46.9s), 長度 202.1px, 速度 4.0px/frame, 點數 15
[00:07:09] 處理進度: 1500/3065, 活躍軌跡: 0, 已偵測流星: 19
[00:07:10] ✓ 流星 #20: 幀 1562-1569 (時間 52.1s-52.3s), 長度 32.3px, 速度 4.6px/frame, 點數 5
[00:07:10] ✓ 流星 #21: 幀 1564-1570 (時間 52.1s-52.3s), 長度 23.7px, 速度 4.0px/frame, 點數 4
[00:07:10] ✓ 流星 #22: 幀 1555-1583 (時間 51.8s-52.8s), 長度 96.3px, 速度 3.4px/frame, 點數 13
[00:07:10] ✓ 流星 #23: 幀 1576-1588 (時間 52.5s-52.9s), 長度 39.1px, 速度 3.3px/frame, 點數 6
[00:07:10] 處理進度: 1600/3065, 活躍軌跡: 0, 已偵測流星: 23
[00:07:10] 處理進度: 1700/3065, 活躍軌跡: 1, 已偵測流星: 23
[00:07:11] ✓ 流星 #24: 幀 1748-1765 (時間 58.3s-58.8s), 長度 74.8px, 速度 4.4px/frame, 點數 9
[00:07:11] ✓ 流星 #25: 幀 1750-1772 (時間 58.3s-59.1s), 長度 105.1px, 速度 4.8px/frame, 點數 10
[00:07:11] ✓ 流星 #26: 幀 1767-1789 (時間 58.9s-59.6s), 長度 102.1px, 速度 4.6px/frame, 點數 10
[00:07:11] ✓ 流星 #27: 幀 1784-1793 (時間 59.5s-59.8s), 長度 34.2px, 速度 3.8px/frame, 點數 4
[00:07:11] 處理進度: 1800/3065, 活躍軌跡: 0, 已偵測流星: 27
[00:07:11] 處理進度: 1900/3065, 活躍軌跡: 21, 已偵測流星: 27
[00:07:11] ✓ 流星 #28: 幀 1947-1954 (時間 64.9s-65.1s), 長度 36.9px, 速度 5.3px/frame, 點數 4
[00:07:11] ✓ 流星 #29: 幀 1951-1961 (時間 65.0s-65.4s), 長度 57.9px, 速度 5.8px/frame, 點數 6
[00:07:11] ✓ 流星 #30: 幀 1954-1964 (時間 65.1s-65.5s), 長度 37.7px, 速度 3.8px/frame, 點數 5
[00:07:11] 處理進度: 2000/3065, 活躍軌跡: 0, 已偵測流星: 30
[00:07:12] 處理進度: 2100/3065, 活躍軌跡: 0, 已偵測流星: 30
[00:07:12] 處理進度: 2200/3065, 活躍軌跡: 1, 已偵測流星: 30
[00:07:12] ✓ 流星 #31: 幀 2210-2217 (時間 73.7s-73.9s), 長度 45.7px, 速度 6.5px/frame, 點數 5
[00:07:12] ✓ 流星 #32: 幀 2207-2222 (時間 73.6s-74.1s), 長度 49.5px, 速度 3.3px/frame, 點數 7
[00:07:13] 處理進度: 2300/3065, 活躍軌跡: 0, 已偵測流星: 32
[00:07:13] ✓ 流星 #33: 幀 2353-2377 (時間 78.4s-79.2s), 長度 239.0px, 速度 10.0px/frame, 點數 11
[00:07:13] 處理進度: 2400/3065, 活躍軌跡: 2, 已偵測流星: 33
[00:07:14] ✓ 流星 #34: 幀 2482-2494 (時間 82.7s-83.1s), 長度 21.7px, 速度 1.8px/frame, 點數 4
[00:07:14] 處理進度: 2500/3065, 活躍軌跡: 1, 已偵測流星: 34
[00:07:14] 處理進度: 2600/3065, 活躍軌跡: 0, 已偵測流星: 34
[00:07:15] ✓ 流星 #35: 幀 2648-2657 (時間 88.3s-88.6s), 長度 84.9px, 速度 9.4px/frame, 點數 6
[00:07:15] 處理進度: 2700/3065, 活躍軌跡: 0, 已偵測流星: 35
[00:07:15] 處理進度: 2800/3065, 活躍軌跡: 0, 已偵測流星: 35
[00:07:16] 處理進度: 2900/3065, 活躍軌跡: 0, 已偵測流星: 35
[00:07:16] ✓ 流星 #36: 幀 2975-2992 (時間 99.2s-99.7s), 長度 52.7px, 速度 3.1px/frame, 點數 7
[00:07:16] 處理進度: 3000/3065, 活躍軌跡: 1, 已偵測流星: 36
[00:07:16] 
軌跡合併: 36 → 20 顆流星
[00:07:16] 
總共偵測到 20 顆流星
[00:07:16] 場景切換次數: 4
[00:07:16] ✓ 結果已儲存: output_enhanced\me\results.json
[00:07:16] 
開始生成標記影片...
[00:07:17]   標記進度: 100/3065
[00:07:18]   標記進度: 200/3065
[00:07:18]   標記進度: 300/3065
[00:07:19]   標記進度: 400/3065
[00:07:19]   標記進度: 500/3065
[00:07:20]   標記進度: 600/3065
[00:07:21]   標記進度: 700/3065
[00:07:21]   標記進度: 800/3065
[00:07:22]   標記進度: 900/3065
[00:07:22]   標記進度: 1000/3065
[00:07:23]   標記進度: 1100/3065
[00:07:24]   標記進度: 1200/3065
[00:07:24]   標記進度: 1300/3065
[00:07:25]   標記進度: 1400/3065
[00:07:26]   標記進度: 1500/3065
[00:07:26]   標記進度: 1600/3065
[00:07:27]   標記進度: 1700/3065
[00:07:27]   標記進度: 1800/3065
[00:07:28]   標記進度: 1900/3065
[00:07:30]   標記進度: 2000/3065
[00:07:31]   標記進度: 2100/3065
[00:07:33]   標記進度: 2200/3065
[00:07:34]   標記進度: 2300/3065
[00:07:36]   標記進度: 2400/3065
[00:07:37]   標記進度: 2500/3065
[00:07:39]   標記進度: 2600/3065
[00:07:40]   標記進度: 2700/3065
[00:07:41]   標記進度: 2800/3065
[00:07:41]   標記進度: 2900/3065
[00:07:42]   標記進度: 3000/3065
[00:07:42] ✓ 標記影片已儲存: output_enhanced\me\me_annotated.mp4
[00:10:58] ================================================================================
[00:10:58] 流星偵測系統 - 增強版
[00:10:58] ================================================================================
[00:10:58] 影片: me.mp4
[00:10:58] 總幀數: 3065, FPS: 30.00
[00:10:58] 參數: 移動檢查=10幀, 最小移動=5px
[00:10:58] ✓ 流星 #1: 幀 79-88 (時間 2.6s-2.9s), 長度 306.3px, 速度 34.0px/frame, 點數 5
[00:10:58] 處理進度: 100/3065, 活躍軌跡: 5, 已偵測流星: 1
[00:10:58] ✓ 流星 #2: 幀 91-95 (時間 3.0s-3.2s), 長度 104.5px, 速度 26.1px/frame, 點數 4
[00:10:59] 處理進度: 200/3065, 活躍軌跡: 0, 已偵測流星: 2
[00:10:59] 處理進度: 300/3065, 活躍軌跡: 0, 已偵測流星: 2
[00:11:00] ✓ 流星 #3: 幀 338-346 (時間 11.3s-11.5s), 長度 81.6px, 速度 10.2px/frame, 點數 6
[00:11:00] ✓ 流星 #4: 幀 343-347 (時間 11.4s-11.6s), 長度 77.5px, 速度 19.4px/frame, 點數 5
[00:11:00] ✓ 流星 #5: 幀 346-350 (時間 11.5s-11.7s), 長度 11.3px, 速度 2.8px/frame, 點數 4
[00:11:00] ✓ 流星 #6: 幀 349-352 (時間 11.6s-11.7s), 長度 18.1px, 速度 6.0px/frame, 點數 4
[00:11:00] ✓ 流星 #7: 幀 352-361 (時間 11.7s-12.0s), 長度 101.1px, 速度 11.2px/frame, 點數 9
[00:11:00] 處理進度: 400/3065, 活躍軌跡: 5, 已偵測流星: 7
[00:11:01] 處理進度: 500/3065, 活躍軌跡: 9, 已偵測流星: 7
[00:11:01] 處理進度: 600/3065, 活躍軌跡: 1, 已偵測流星: 7
[00:11:01] ✓ 流星 #8: 幀 597-605 (時間 19.9s-20.2s), 長度 20.8px, 速度 2.6px/frame, 點數 5
[00:11:01] ✓ 流星 #9: 幀 602-609 (時間 20.1s-20.3s), 長度 27.8px, 速度 4.0px/frame, 點數 5
[00:11:01] ✓ 流星 #10: 幀 607-635 (時間 20.2s-21.2s), 長度 85.3px, 速度 3.0px/frame, 點數 12
[00:11:01] ✓ 流星 #11: 幀 631-643 (時間 21.0s-21.4s), 長度 22.6px, 速度 1.9px/frame, 點數 5
[00:11:02] 處理進度: 700/3065, 活躍軌跡: 0, 已偵測流星: 11
[00:11:02] 處理進度: 800/3065, 活躍軌跡: 0, 已偵測流星: 11
[00:11:02] ✓ 流星 #12: 幀 861-873 (時間 28.7s-29.1s), 長度 167.6px, 速度 14.0px/frame, 點數 6
[00:11:02] ✓ 流星 #13: 幀 863-875 (時間 28.8s-29.2s), 長度 169.8px, 速度 14.2px/frame, 點數 6
[00:11:03] 處理進度: 900/3065, 活躍軌跡: 0, 已偵測流星: 13
[00:11:03] 處理進度: 1000/3065, 活躍軌跡: 0, 已偵測流星: 13
[00:11:03] 處理進度: 1100/3065, 活躍軌跡: 0, 已偵測流星: 13
[00:11:04] ✓ 流星 #14: 幀 1175-1190 (時間 39.2s-39.7s), 長度 94.2px, 速度 6.3px/frame, 點數 4
[00:11:04] 處理進度: 1200/3065, 活躍軌跡: 2, 已偵測流星: 14
[00:11:04] ✓ 流星 #15: 幀 1180-1195 (時間 39.3s-39.8s), 長度 93.3px, 速度 6.2px/frame, 點數 4
[00:11:04] 處理進度: 1300/3065, 活躍軌跡: 0, 已偵測流星: 15
[00:11:05] ✓ 流星 #16: 幀 1345-1352 (時間 44.8s-45.1s), 長度 43.1px, 速度 6.2px/frame, 點數 4
[00:11:05] ✓ 流星 #17: 幀 1352-1363 (時間 45.1s-45.4s), 長度 100.8px, 速度 9.2px/frame, 點數 5
[00:11:05] 處理進度: 1400/3065, 活躍軌跡: 2, 已偵測流星: 17
[00:11:05] ✓ 流星 #18: 幀 1384-1402 (時間 46.1s-46.7s), 長度 79.1px, 速度 4.4px/frame, 點數 6
[00:11:05] ✓ 流星 #19: 幀 1355-1406 (時間 45.2s-46.9s), 長度 202.1px, 速度 4.0px/frame, 點數 15
[00:11:05] 處理進度: 1500/3065, 活躍軌跡: 0, 已偵測流星: 19
[00:11:06] ✓ 流星 #20: 幀 1562-1569 (時間 52.1s-52.3s), 長度 32.3px, 速度 4.6px/frame, 點數 5
[00:11:06] ✓ 流星 #21: 幀 1564-1570 (時間 52.1s-52.3s), 長度 23.7px, 速度 4.0px/frame, 點數 4
[00:11:06] ✓ 流星 #22: 幀 1555-1583 (時間 51.8s-52.8s), 長度 96.3px, 速度 3.4px/frame, 點數 13
[00:11:06] ✓ 流星 #23: 幀 1576-1588 (時間 52.5s-52.9s), 長度 39.1px, 速度 3.3px/frame, 點數 6
[00:11:06] 處理進度: 1600/3065, 活躍軌跡: 0, 已偵測流星: 23
[00:11:06] 處理進度: 1700/3065, 活躍軌跡: 1, 已偵測流星: 23
[00:11:06] ✓ 流星 #24: 幀 1748-1765 (時間 58.3s-58.8s), 長度 74.8px, 速度 4.4px/frame, 點數 9
